song,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,song_label,clusters_kmeans
Quutamo,Apocalyptica,0.496,0.939,-7.184,0.125,0.00229,0.844,0.199,0.262,109.153,6YPeAuIL4TQKNgfwDPEAOD,208120,R,3
Love,Keyshia Cole,0.688,0.519,-4.285,0.0283,0.064,0.0,0.1,0.318,116.714,0W4NhJhcqKCqEP2GIpDCDq,255333,R,8
Second Heartbeat,Avenged Sevenfold,0.294,0.986,-4.947,0.096,1.21e-05,0.543,0.118,0.316,184.987,3hmX5dfwY9oRIpJKvt755u,420333,R,6
One Night In Bangkok,Murray Head,0.892,0.578,-5.025,0.15,0.112,0.000315,0.0897,0.621,108.703,6erBowZaW6Ur3vNOWhS2zM,236067,R,7
I Wonder,Kanye West,0.542,0.466,-8.665,0.0831,0.141,0.000445,0.125,0.124,191.385,7rbECVPkY5UODxoOUVKZnA,243440,R,0
More Than Everything,Gareth Emery,0.698,0.795,-8.936,0.0787,7.04e-05,0.698,0.031,0.348,134.998,3mgdXpOyTxtQBDWEkwYecR,479600,R,6
Voodoo Fire,Cathedral,0.285,0.922,-6.076,0.173,0.00389,0.0161,0.423,0.305,81.271,3NX0y58yLQRTXKKN7RVQtN,371840,R,8
Never As Good As The First Time,Sade,0.691,0.819,-7.627,0.0351,0.238,0.0049,0.0565,0.839,107.761,1OefsOF4JwGjOeLiWuUKTI,237560,R,7
Dust N\' Bones,Guns N\' Roses,0.445,0.922,-6.665,0.0443,0.0189,0.00244,0.181,0.449,129.502,4vtXsXvSYaTfKQ0dJXbJGu,298160,R,8
The Beat Goes On,Britney Spears,0.772,0.548,-9.352,0.164,0.097,0.221,0.103,0.648,154.871,4l3zi35EzEv8L7xLZ9jEcJ,223200,R,7
Casio Bossa Nova,Holy Fuck,0.564,0.956,-5.283,0.0806,0.00089,0.00716,0.167,0.403,124.477,2M21c2aDmNRTCQQCxdhcye,386200,R,8
My Michelle,Guns N\' Roses,0.459,0.97,-6.16,0.0583,0.158,0.00483,0.476,0.282,103.505,1NQPc9znr56Ci6f02HoLpg,219933,R,2
I Use To Think I Was Run,Rev Run,0.746,0.982,-2.764,0.181,0.129,1.29e-06,0.325,0.93,82.039,1dSf59z9yq8Mwxs5xty9Fd,187600,R,7
Speed Of Sound,Coldplay,0.514,0.898,-6.765,0.0577,0.00488,0.0345,0.0746,0.353,123.067,7clUVcSOtkNWa58Gw5RfD4,287907,R,8
Coconut Skins,Damien Rice,0.36,0.594,-6.898,0.0312,0.255,0.0,0.0875,0.466,107.528,4CVP2pvqUxH9tExsHJnzV9,225373,R,8
Besame Mucho,Andrea Bocelli,0.521,0.502,-8.521,0.0287,0.886,0.02,0.188,0.378,95.028,5WHnE8MsLFHqSUwecrs7WO,241232,R,1
Auto Rock,Mogwai,0.462,0.45,-9.547,0.0355,0.871,0.959,0.0897,0.19,120.019,5Dm6JYHlzbueV8XrsIQEDp,260600,R,5
Skin Of The Night,M83,0.497,0.684,-6.588,0.0298,0.00674,0.0191,0.213,0.244,120.024,2mHx4SyBWXEnPtRWcz0ZSB,372867,R,8
Hang On To This,Days Of The New,0.47,0.929,-5.206,0.0411,0.000466,0.0,0.308,0.733,145.874,23Upadj83RZRSIeDdbRKHm,251827,R,0
Sandstorm,Darude,0.528,0.965,-7.984,0.0465,0.141,0.985,0.0797,0.587,136.065,6Sy9BUbgFse0n0LPA5lwy5,225493,R,3
Land Of 1000 Dances,Wilson Pickett,0.618,0.588,-11.624,0.0735,0.0128,0.0266,0.351,0.768,86.903,76ICmoJ4PcoMWoooaTxnQs,146973,R,7
Strange Times,The Black Keys,0.453,0.819,-6.374,0.0329,0.0212,0.000822,0.144,0.699,160.585,0dpNxKXHazvWga4MN6z2rn,190320,R,0
Life In Technicolor,Coldplay,0.472,0.909,-7.073,0.0391,0.00158,5.16e-05,0.248,0.278,131.051,0VpFFXnT2kNjqJmTv57aZi,245100,R,8
Nitro (Youth Energy),The Offspring,0.322,0.902,-6.353,0.0654,0.000814,0.0,0.12,0.763,158.593,6LjDGj9Hn5ERX3uhrT9LGV,146960,R,0
Burnin\' / Too Long,Daft Punk,0.602,0.793,-10.462,0.0946,0.000207,0.0476,0.686,0.35,127.016,3Ons6C3wXBMi8nYpLBMlVe,431507,R,2
Horizon Variations,Max Richter,0.293,0.0179,-25.089,0.0382,0.993,0.927,0.104,0.109,68.994,37xq4ONkOsboVdMMkYhdOm,112613,R,5
Autobiography,Ashlee Simpson,0.577,0.757,-3.718,0.0354,0.0029,7.64e-06,0.104,0.589,129.906,7K6F7WCLsJgvXnxzpxW4b4,214467,R,8
Fashion,Lady GaGa,0.606,0.799,-4.737,0.0485,0.00286,0.0,0.118,0.501,116.991,2I5tTeFL69KZCiO0YYoql7,239853,R,8
Hands And Feet,Audio Adrenaline,0.515,0.943,-4.541,0.0638,0.0166,0.0,0.347,0.559,98.946,6o0ScYentB1u59uQVz8dCI,248293,R,8
All Fall Down,OneRepublic,0.502,0.816,-4.826,0.03,0.241,0.0,0.107,0.419,92.512,1zjJg21AG4sXU9wzbQnQiQ,244440,R,8
War Pigs,Cake,0.581,0.566,-8.169,0.0357,0.00698,2.93e-06,0.0968,0.449,83.904,5Cg6S5BXG6lXqjijSK9zFh,234013,R,8
Music Of The Sun,Rihanna,0.535,0.643,-8.182,0.155,0.112,0.0,0.281,0.632,171.884,3vPkkIsaQ5NqOqvj7Ht8kR,236027,R,0
Be (Intro),Common,0.619,0.755,-8.439,0.0918,0.225,0.0,0.468,0.191,93.703,11aFVmFy8903RwDx4ohQiq,144200,R,8
Dance Me To The End Of Love,Leonard Cohen,0.588,0.38,-11.879,0.0251,0.269,8.36e-06,0.0741,0.502,132.885,3mFzIFFFmEXTQs6BDAK2ZZ,280627,R,1
Primary,The Cure,0.496,0.89,-7.461,0.051,0.0185,0.254,0.738,0.898,171.442,6nm0hSPGUOJGSBcLeDlgFT,219533,R,2
Captains and Cruise Ships,Owl City,0.673,0.495,-8.299,0.0328,0.442,0.0,0.0506,0.91,62.647,4wVURZ53jU7NJIWKTuVrrq,208640,R,7
Smile Like You Mean It,The Killers,0.346,0.965,-4.255,0.146,0.000461,0.012,0.214,0.384,125.043,3KANrKOFYyAxfjQJHkgBdb,234107,R,0
I Should Be...,Dru Hill,0.383,0.749,-3.931,0.084,0.199,0.0,0.204,0.466,122.141,7qZWCIgHBgjyuUBOnGnD9k,297627,R,8
Parks,Four Tet,0.421,0.441,-11.918,0.0436,0.716,0.474,0.227,0.199,85.986,7KtsJ4OOAVHsssCPjam8mA,363507,R,1
Bringing Us Down,Les Savy Fav,0.266,0.992,-5.22,0.121,0.00647,0.000125,0.151,0.381,170.831,3RJKpPgeXv4u5tVNU9EZob,184400,R,0
Nothing On But The Radio,Gary Allan,0.679,0.736,-5.954,0.026,0.0572,9.25e-06,0.139,0.664,109.444,3SRuODYNV4j2ckkJ9Samju,212027,R,7
Once upon a time in the west,Ennio Morricone,0.123,0.214,-10.946,0.037,0.836,0.676,0.13,0.0451,90.408,0c89GbbUO3degznx9eYrq0,223120,R,5
RoboCop,Kanye West,0.698,0.447,-8.04,0.102,0.157,0.00564,0.405,0.407,133.776,02LAK7qT1wya0klSeNO96f,274360,R,8
A Good Heart,Feargal Sharkey,0.653,0.884,-10.224,0.0444,0.417,0.0,0.318,0.762,104.647,4umQbcdBF3YVsNBvvnFLiX,281800,R,7
Midnight In A Perfect World,DJ Shadow,0.664,0.644,-9.334,0.0352,0.531,0.661,0.251,0.646,79.526,1z6zJqayfsAiiYtQ3minb7,298373,R,3
