song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Casio Bossa Nova,Holy Fuck,0.564,0.956,11,-5.283,0,0.0806,0.00089,0.00716,0.167,0.403,124.477,audio_features,2M21c2aDmNRTCQQCxdhcye,spotify:track:2M21c2aDmNRTCQQCxdhcye,https://api.spotify.com/v1/tracks/2M21c2aDmNRTCQQCxdhcye,https://api.spotify.com/v1/audio-analysis/2M21c2aDmNRTCQQCxdhcye,386200,4
My Michelle,Guns N\' Roses,0.459,0.97,8,-6.16,1,0.0583,0.158,0.00483,0.476,0.282,103.505,audio_features,1NQPc9znr56Ci6f02HoLpg,spotify:track:1NQPc9znr56Ci6f02HoLpg,https://api.spotify.com/v1/tracks/1NQPc9znr56Ci6f02HoLpg,https://api.spotify.com/v1/audio-analysis/1NQPc9znr56Ci6f02HoLpg,219933,4
I Use To Think I Was Run,Rev Run,0.746,0.982,1,-2.764,1,0.181,0.129,1.29e-06,0.325,0.93,82.039,audio_features,1dSf59z9yq8Mwxs5xty9Fd,spotify:track:1dSf59z9yq8Mwxs5xty9Fd,https://api.spotify.com/v1/tracks/1dSf59z9yq8Mwxs5xty9Fd,https://api.spotify.com/v1/audio-analysis/1dSf59z9yq8Mwxs5xty9Fd,187600,4
Speed Of Sound,Coldplay,0.514,0.898,11,-6.765,0,0.0577,0.00488,0.0345,0.0746,0.353,123.067,audio_features,7clUVcSOtkNWa58Gw5RfD4,spotify:track:7clUVcSOtkNWa58Gw5RfD4,https://api.spotify.com/v1/tracks/7clUVcSOtkNWa58Gw5RfD4,https://api.spotify.com/v1/audio-analysis/7clUVcSOtkNWa58Gw5RfD4,287907,4
Coconut Skins,Damien Rice,0.36,0.594,7,-6.898,1,0.0312,0.255,0,0.0875,0.466,107.528,audio_features,4CVP2pvqUxH9tExsHJnzV9,spotify:track:4CVP2pvqUxH9tExsHJnzV9,https://api.spotify.com/v1/tracks/4CVP2pvqUxH9tExsHJnzV9,https://api.spotify.com/v1/audio-analysis/4CVP2pvqUxH9tExsHJnzV9,225373,4
Besame Mucho,Andrea Bocelli,0.521,0.502,5,-8.521,0,0.0287,0.886,0.02,0.188,0.378,95.028,audio_features,5WHnE8MsLFHqSUwecrs7WO,spotify:track:5WHnE8MsLFHqSUwecrs7WO,https://api.spotify.com/v1/tracks/5WHnE8MsLFHqSUwecrs7WO,https://api.spotify.com/v1/audio-analysis/5WHnE8MsLFHqSUwecrs7WO,241232,4
Auto Rock,Mogwai,0.462,0.45,10,-9.547,0,0.0355,0.871,0.959,0.0897,0.19,120.019,audio_features,5Dm6JYHlzbueV8XrsIQEDp,spotify:track:5Dm6JYHlzbueV8XrsIQEDp,https://api.spotify.com/v1/tracks/5Dm6JYHlzbueV8XrsIQEDp,https://api.spotify.com/v1/audio-analysis/5Dm6JYHlzbueV8XrsIQEDp,260600,4
Skin Of The Night,M83,0.497,0.684,11,-6.588,1,0.0298,0.00674,0.0191,0.213,0.244,120.024,audio_features,2mHx4SyBWXEnPtRWcz0ZSB,spotify:track:2mHx4SyBWXEnPtRWcz0ZSB,https://api.spotify.com/v1/tracks/2mHx4SyBWXEnPtRWcz0ZSB,https://api.spotify.com/v1/audio-analysis/2mHx4SyBWXEnPtRWcz0ZSB,372867,4
Hang On To This,Days Of The New,0.47,0.929,7,-5.206,0,0.0411,0.000466,0,0.308,0.733,145.874,audio_features,23Upadj83RZRSIeDdbRKHm,spotify:track:23Upadj83RZRSIeDdbRKHm,https://api.spotify.com/v1/tracks/23Upadj83RZRSIeDdbRKHm,https://api.spotify.com/v1/audio-analysis/23Upadj83RZRSIeDdbRKHm,251827,4
Sandstorm,Darude,0.528,0.965,11,-7.984,0,0.0465,0.141,0.985,0.0797,0.587,136.065,audio_features,6Sy9BUbgFse0n0LPA5lwy5,spotify:track:6Sy9BUbgFse0n0LPA5lwy5,https://api.spotify.com/v1/tracks/6Sy9BUbgFse0n0LPA5lwy5,https://api.spotify.com/v1/audio-analysis/6Sy9BUbgFse0n0LPA5lwy5,225493,4
Land Of 1000 Dances,Wilson Pickett,0.618,0.588,2,-11.624,1,0.0735,0.0128,0.0266,0.351,0.768,86.903,audio_features,76ICmoJ4PcoMWoooaTxnQs,spotify:track:76ICmoJ4PcoMWoooaTxnQs,https://api.spotify.com/v1/tracks/76ICmoJ4PcoMWoooaTxnQs,https://api.spotify.com/v1/audio-analysis/76ICmoJ4PcoMWoooaTxnQs,146973,4
Strange Times,The Black Keys,0.453,0.819,8,-6.374,0,0.0329,0.0212,0.000822,0.144,0.699,160.585,audio_features,0dpNxKXHazvWga4MN6z2rn,spotify:track:0dpNxKXHazvWga4MN6z2rn,https://api.spotify.com/v1/tracks/0dpNxKXHazvWga4MN6z2rn,https://api.spotify.com/v1/audio-analysis/0dpNxKXHazvWga4MN6z2rn,190320,4
Life In Technicolor,Coldplay,0.472,0.909,9,-7.073,1,0.0391,0.00158,5.16e-05,0.248,0.278,131.051,audio_features,0VpFFXnT2kNjqJmTv57aZi,spotify:track:0VpFFXnT2kNjqJmTv57aZi,https://api.spotify.com/v1/tracks/0VpFFXnT2kNjqJmTv57aZi,https://api.spotify.com/v1/audio-analysis/0VpFFXnT2kNjqJmTv57aZi,245100,4
Nitro (Youth Energy),The Offspring,0.322,0.902,5,-6.353,0,0.0654,0.000814,0,0.12,0.763,158.593,audio_features,6LjDGj9Hn5ERX3uhrT9LGV,spotify:track:6LjDGj9Hn5ERX3uhrT9LGV,https://api.spotify.com/v1/tracks/6LjDGj9Hn5ERX3uhrT9LGV,https://api.spotify.com/v1/audio-analysis/6LjDGj9Hn5ERX3uhrT9LGV,146960,4
Burnin\' / Too Long,Daft Punk,0.602,0.793,10,-10.462,0,0.0946,0.000207,0.0476,0.686,0.35,127.016,audio_features,3Ons6C3wXBMi8nYpLBMlVe,spotify:track:3Ons6C3wXBMi8nYpLBMlVe,https://api.spotify.com/v1/tracks/3Ons6C3wXBMi8nYpLBMlVe,https://api.spotify.com/v1/audio-analysis/3Ons6C3wXBMi8nYpLBMlVe,431507,4
Horizon Variations,Max Richter,0.293,0.0179,3,-25.089,1,0.0382,0.993,0.927,0.104,0.109,68.994,audio_features,37xq4ONkOsboVdMMkYhdOm,spotify:track:37xq4ONkOsboVdMMkYhdOm,https://api.spotify.com/v1/tracks/37xq4ONkOsboVdMMkYhdOm,https://api.spotify.com/v1/audio-analysis/37xq4ONkOsboVdMMkYhdOm,112613,1
