song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
No Deal,Rod Wave,0.752,0.523,10,-8.033,1,0.355,0.0478,0,0.0622,0.192,81.48,audio_features,2GJxkCRFJ6maLi2VmYRX9R,spotify:track:2GJxkCRFJ6maLi2VmYRX9R,https://api.spotify.com/v1/tracks/2GJxkCRFJ6maLi2VmYRX9R,https://api.spotify.com/v1/audio-analysis/2GJxkCRFJ6maLi2VmYRX9R,187730,4
Dah Dah DahDah,Nardo Wick,0.66,0.373,11,-10.234,1,0.595,0.149,0,0.106,0.35,167.912,audio_features,2TSfStvlAMLw89u3tali79,spotify:track:2TSfStvlAMLw89u3tali79,https://api.spotify.com/v1/tracks/2TSfStvlAMLw89u3tali79,https://api.spotify.com/v1/audio-analysis/2TSfStvlAMLw89u3tali79,151776,4
Whiskey On You,Nate Smith,0.479,0.768,8,-5.204,1,0.0312,7.02e-05,0.00549,0.121,0.576,110.024,audio_features,6Tm4Io4ct4w14nB1EUzsY3,spotify:track:6Tm4Io4ct4w14nB1EUzsY3,https://api.spotify.com/v1/tracks/6Tm4Io4ct4w14nB1EUzsY3,https://api.spotify.com/v1/audio-analysis/6Tm4Io4ct4w14nB1EUzsY3,183790,4
I Know It,Rod Wave,0.626,0.772,5,-6.797,1,0.057,0.339,0,0.135,0.31,162.975,audio_features,2Ty1Z8Q0bRF7niZuO8D5rW,spotify:track:2Ty1Z8Q0bRF7niZuO8D5rW,https://api.spotify.com/v1/tracks/2Ty1Z8Q0bRF7niZuO8D5rW,https://api.spotify.com/v1/audio-analysis/2Ty1Z8Q0bRF7niZuO8D5rW,157546,4
Last Last,Burna Boy,0.795,0.565,3,-4.457,0,0.0948,0.131,0,0.0802,0.55,87.925,audio_features,5YbPxJwPfrj7uswNwoF1pJ,spotify:track:5YbPxJwPfrj7uswNwoF1pJ,https://api.spotify.com/v1/tracks/5YbPxJwPfrj7uswNwoF1pJ,https://api.spotify.com/v1/audio-analysis/5YbPxJwPfrj7uswNwoF1pJ,172342,4
With A Woman You Love,Justin Moore,0.611,0.756,7,-4.483,1,0.0288,0.0587,0,0.378,0.596,106.012,audio_features,20WKHeDTmtU0Zj4sNB8aoA,spotify:track:20WKHeDTmtU0Zj4sNB8aoA,https://api.spotify.com/v1/tracks/20WKHeDTmtU0Zj4sNB8aoA,https://api.spotify.com/v1/audio-analysis/20WKHeDTmtU0Zj4sNB8aoA,167376,4
Truth About You,Mitchell Tenpenny,0.492,0.708,10,-4.639,1,0.0334,0.0975,0,0.12,0.697,161.989,audio_features,4Qum1kECNQrpREev5fvAQ4,spotify:track:4Qum1kECNQrpREev5fvAQ4,https://api.spotify.com/v1/tracks/4Qum1kECNQrpREev5fvAQ4,https://api.spotify.com/v1/audio-analysis/4Qum1kECNQrpREev5fvAQ4,203037,4
Cuff It,Beyonce,0.78,0.689,7,-5.668,1,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,audio_features,1xzi1Jcr7mEi9K2RfzLOqS,spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,https://api.spotify.com/v1/tracks/1xzi1Jcr7mEi9K2RfzLOqS,https://api.spotify.com/v1/audio-analysis/1xzi1Jcr7mEi9K2RfzLOqS,225389,4
Pick Me Up,Gabby Barrett,0.472,0.701,2,-4.563,1,0.0369,0.0387,0,0.107,0.515,79.805,audio_features,7xNYZeFtrB05pi9tc6lEeb,spotify:track:7xNYZeFtrB05pi9tc6lEeb,https://api.spotify.com/v1/tracks/7xNYZeFtrB05pi9tc6lEeb,https://api.spotify.com/v1/audio-analysis/7xNYZeFtrB05pi9tc6lEeb,169440,4
Despecha,Rosalia,0.919,0.623,7,-6.521,1,0.0992,0.184,1.63e-05,0.0609,0.775,130.037,audio_features,5ildQOEKmJuWGl2vRkFdYc,spotify:track:5ildQOEKmJuWGl2vRkFdYc,https://api.spotify.com/v1/tracks/5ildQOEKmJuWGl2vRkFdYc,https://api.spotify.com/v1/audio-analysis/5ildQOEKmJuWGl2vRkFdYc,157018,4
Pieces,Rod Wave,0.565,0.558,5,-7.634,1,0.0453,0.379,0,0.0896,0.0778,82.998,audio_features,6T7tWJsjBpLb95rNqSLcih,spotify:track:6T7tWJsjBpLb95rNqSLcih,https://api.spotify.com/v1/tracks/6T7tWJsjBpLb95rNqSLcih,https://api.spotify.com/v1/audio-analysis/6T7tWJsjBpLb95rNqSLcih,208193,4
Ghost Story,Carrie Underwood,0.479,0.742,7,-5.587,1,0.0539,0.0069,0.000834,0.278,0.454,142.909,audio_features,2FGOg7uYBfnspkPOISXTFY,spotify:track:2FGOg7uYBfnspkPOISXTFY,https://api.spotify.com/v1/tracks/2FGOg7uYBfnspkPOISXTFY,https://api.spotify.com/v1/audio-analysis/2FGOg7uYBfnspkPOISXTFY,181400,3
Rockstar Heart,Rod Wave,0.516,0.533,0,-8.106,1,0.067,0.684,0,0.188,0.175,76.325,audio_features,4UiPTfFuP4SLo59Q9KC8Yp,spotify:track:4UiPTfFuP4SLo59Q9KC8Yp,https://api.spotify.com/v1/tracks/4UiPTfFuP4SLo59Q9KC8Yp,https://api.spotify.com/v1/audio-analysis/4UiPTfFuP4SLo59Q9KC8Yp,137967,4
